Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
388049,Introduction to Graph Theory,Richard J. Trudeau,"Trudeau, Richard J.",,"=""0486678709""","=""9780486678702""",5,4.05,Dover Publications,Paperback,224,1994,1994,2018/03/27,2018/03/24,,,read,,,,1,,,0,,,,,
23444482,The Traitor Baru Cormorant (Baru Cormorant #1),Seth Dickinson,"Dickinson, Seth",,"=""0765380722""","=""9780765380722""",0,4.05,Tor,Hardcover,399,2015,2015,,2018/03/15,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
7805,Pale Fire,Vladimir Nabokov,"Nabokov, Vladimir",,"=""0141185260""","=""9780141185262""",0,4.20,Penguin Books Ltd,Paperback,246,2010,1962,2018/03/13,2018/03/06,,,read,,,,1,,,0,,,,,
46114,The Waves,Virginia Woolf,"Woolf, Virginia",,"=""0156949601""","=""9780156949606""",0,4.14,Harvest Books,Paperback,297,1978,1931,,2018/03/05,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
23363928,The Library at Mount Char,Scott  Hawkins,"Hawkins, Scott",,"=""0553418602""","=""9780553418606""",0,4.08,Crown,Hardcover,390,2015,2015,2018/03/03,2018/02/28,,,read,,,,1,,,0,,,,,
25372801,All the Birds in the Sky,Charlie Jane Anders,"Anders, Charlie Jane",,"=""0765379945""","=""9780765379948""",0,3.57,Tor Books,Hardcover,320,2016,2016,2018/02/26,2018/02/26,,,read,,,,1,,,0,,,,,
33296259,The Stone Sky,N.K. Jemisin,"Jemisin, N.K.",,"=""0316229245""","=""9780316229241""",0,4.40,Orbit,Paperback,398,2017,2017,2018/02/23,2018/02/18,,,read,,,,1,,,0,,,,,
32075842,The Prey of Gods,Nicky Drayden,"Drayden, Nicky",,"=""0062493035""","=""9780062493033""",0,3.86,Harper Voyager,Paperback,381,2017,2017,2018/02/17,2018/02/14,,,read,,,,1,,,0,,,,,
28118494,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,"Jemisin, N.K.",,"=""0316229261""","=""9780316229265""",0,4.35,Orbit,Paperback,410,2016,2016,2018/02/13,2018/02/07,,,read,,,,1,,,0,,,,,
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",0,4.03,Tor Books,Hardcover,400,2014,2007,2018/02/06,2018/02/03,,,read,,,,1,,,0,,,,,
22544764,Uprooted,Naomi Novik,"Novik, Naomi",,"=""0804179034""","=""9780804179034""",0,4.11,Del Rey,Hardcover,435,2015,2015,2018/01/25,2018/01/23,,,read,,,,1,,,0,,,,,
23533039,Ancillary Mercy (Imperial Radch #3),Ann Leckie,"Leckie, Ann",,"=""0356502422""","=""9780356502427""",0,4.20,Orbit,Paperback,330,2015,2015,2018/01/22,2018/01/20,,,read,,,,1,,,0,,,,,
198628,The Government Inspector And Selected Stories,Nikolai Gogol,"Gogol, Nikolai",,"=""5050051347""","=""9785050051349""",0,3.97,Raduga Publishers Moscow,Hardcover,318,2000,1835,2018/01/19,2018/01/16,,,read,,,,1,,,0,,,,,
21091693,"Ancillary Sword (Imperial Radch, #2)",Ann Leckie,"Leckie, Ann",,"=""0356502414""","=""9780356502410""",0,4.04,"Orbit UK (Little, Brown Book Group)",Paperback,356,2014,2014,2018/01/14,2018/01/07,,,read,,,,1,,,0,,,,,
274056,White Light,Rudy Rucker,"Rucker, Rudy",John Shirley,"=""156858198X""","=""9781568581989""",0,3.87,Four Walls Eight Windows,Paperback,269,2001,1980,2018/01/05,2018/01/01,,,read,,,,1,,,0,,,,,
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",0,4.31,Orbit,Paperback,468,2015,2015,2017/12/26,2017/12/24,,,read,,,,1,,,0,,,,,
17262702,Definitely Maybe,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Antonina W. Bouis","=""1612192815""","=""9781612192819""",0,3.87,Melville House,Paperback,149,2014,1974,2014/08/31,2014/08/30,,,read,,,,2,,,0,,,,,
16366,Endless Night,Agatha Christie,"Christie, Agatha",,"=""0007151675""","=""9780007151677""",0,3.76,Harper,Paperback,303,2007,1967,2017/12/17,2017/12/12,,,read,,,,1,,,0,,,,,
10836835,Apollo's Angels: A History of Ballet,Jennifer Homans,"Homans, Jennifer",,"=""0812968743""","=""9780812968743""",0,3.96,Random House Trade Paperbacks,Paperback,672,2011,2010,2017/12/10,2017/10/28,,,read,,,,1,,,0,,,,,
34490618,Swing Time,Zadie Smith,"Smith, Zadie",,"=""0143111647""","=""9780143111641""",0,3.58,Penguin Books,Paperback,,2017,2016,2017/12/03,2017/11/26,,,read,,,,1,,,0,,,,,
28588169,The Invisibility Cloak (New York Review Books Classics),Ge Fei,"Fei, Ge",Canaan Morse,"=""1681370204""","=""9781681370200""",0,3.84,New York Review of Books,Paperback,126,2016,2012,2017/11/05,2017/11/03,,,read,,,,1,,,0,,,,,
7848,"Moby-Dick; or, The Whale",Herman Melville,"Melville, Herman","Rockwell Kent, Elizabeth Hardwick","=""067978327X""","=""9780679783275""",0,3.47,Modern Library,Paperback,896,2000,1851,2017/10/28,2017/07/17,,,read,,,,1,,,0,,,,,
414,Vineland,Thomas Pynchon,"Pynchon, Thomas",,"=""0141180633""","=""9780141180632""",0,3.67,Penguin Classics,Paperback,385,1997,1990,2017/10/20,2017/10/13,,,read,,,,1,,,0,,,,,
22522805,The Buried Giant,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""030727103X""","=""9780307271037""",0,3.45,Knopf,Hardcover,317,2015,2015,2017/10/07,2017/10/04,,,read,,,,1,,,0,,,,,
436982,Notes from the Underground,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",Constance Garnett,"=""048627053X""","=""9780486270531""",0,4.17,Dover Publications,Paperback,96,1992,1864,2017/09/03,2017/09/03,,,read,,,,1,,,0,,,,,
33160946,Procedural Generation in Game Design,Tanya X. Short,"Short, Tanya X.",Tarn Adams,"=""1498799191""","=""9781498799195""",0,4.24,A K PETERS,Paperback,,2017,,,2017/07/02,,,read,,,,1,,,0,,,,,
285591,Mrs. Caliban,Rachel Ingalls,"Ingalls, Rachel",,"=""0876451121""","=""9780876451120""",0,3.82,Harvard Common Press,Hardcover,128,1982,1982,,2017/07/25,,,read,,,,1,,,0,,,,,
1150390,Empire Star,Samuel R. Delany,"Delany, Samuel R.",,"=""0553234250""","=""9780553234251""",0,3.82,"Bantam Books, Inc.",Paperback,132,1983,1966,,2017/07/17,,,read,,,,1,,,0,,,,,
17262100,The Lowland,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""0307265749""","=""9780307265746""",0,3.83,Knopf,Hardcover,340,2013,2013,2017/07/15,2017/07/14,,,read,,,,1,,,0,,,,,
