'TITLE',"'AUTHOR (first, last)'","'AUTHOR (last, first)'",'DATE','LCC','DDC','ISBNs',"'PUBLICATION INFO'",'COMMENT','RATINGS','REVIEWS',"'ENTRY DATE'",'COPIES','SUBJECTS','COLLECTIONS','TAGS'
"Magic, Science, and Religion","Bronislaw Malinowski","Malinowski, Bronislaw",?,,,[],"Publisher Unknown",,0,,"2014-01-21 18:49:25",1,"Anthropology > 
Ethnology > 
Ethnology
Religion > 
Religion","Your library","anthropology,religion,magic,science,nonfiction,ethnology"
"Book Of Fortune Telling, The",Hamlyn,Hamlyn,?,,,[],"Publisher Unknown",,0,,"2014-01-21 18:49:26",1,,"Your library","divination,occult,tarot,nonfiction"
"Songs Of Sappho",Sappho,Sappho,?,,,[],"Peter Pauper Press, Hardcover",,0,,"2014-01-21 18:49:26",1,,"Your library","poetry,queer"
Kraken,"China Mieville","Mieville, China",2011,,,[0345497503],"Del Rey (2011), Edition: Reprint, Paperback, 528 pages",,0,,"2014-01-21 18:50:15",1,,"Your library","religion,cults,magic,london,apocalypse,novel,RECOMMENDER:Jesse"
"Y: The Last Man, Vol. 1: Unmanned","Brian K. Vaughan","Vaughan, Brian K.",2003,,,[1563899809],"Vertigo (2003), Edition: aFirst Edition First Printing, Paperback, 128 pages",,0,,"2014-01-21 18:50:16",1,"Graphic novels > 
Heroes > Comic books, strips, etc > 
Science fiction comic books, strips, etc","Your library","gender,apocalypse,graphic novels & comics"
"Saga, Vol. 2","Brian K. Vaughan","Vaughan, Brian K.",2013,,,[1607066920],"Image Comics (2013), Edition: 0, Paperback, 144 pages",,0,,"2014-01-21 18:50:16",1,,"Your library","war,space travel,graphic novels & comics,RECOMMENDER:Tessa"
"Fables: 1001 Nights of Snowfall","Bill Willingham","Willingham, Bill",2006,,,[1401203671],"Vertigo (2006), Edition: 0, Hardcover, 144 pages",,0,,"2014-01-21 18:50:16",1,"Fictitious characters > Comic books, strips, etc. > Fiction > 
Fictitious characters > Fiction
Graphic novels > 
Graphic novels","Your library","mythology,metafiction,graphic novels & comics"
"Tank Girl 2 (Remastered Edition) (Bk. 2)","Alan C Martin","Martin, Alan C",2009,,,[9781845767594],"Titan Books (2009), Edition: Anv, Paperback, 120 pages",,0,,"2014-01-21 18:50:16",1,,"Your library","punk,graphic novels & comics"
"Saga, Vol. 1","Brian K. Vaughan","Vaughan, Brian K.",2012,,,[1607066017],"Image Comics (2012), Edition: 0, Paperback, 160 pages",,0,,"2014-01-21 18:50:16",1,,"Your library","space travel,war,graphic novels & comics,RECOMMENDER:Tessa"
"V for Vendetta","Alan Moore","Moore, Alan",1995,,,[0930289528],"Vertigo (1995), Edition: 0, Paperback, 288 pages",,0,,"2014-01-21 18:50:16",1,"Graphic novels","Your library","anarchism,dystopia,england,graphic novels & comics"
"Hellboy, Vol. 3: The Chained Coffin and Others","Mike Mignola","Mignola, Mike",2004,,,[1593070918],"Dark Horse (2004), Edition: 2nd, Paperback, 168 pages",,0,,"2014-01-21 18:50:16",1,,"Your library","horror,occult,graphic novels & comics"
"Transmetropolitan, Vol. 3: Year of the Bastard","Warren Ellis","Ellis, Warren",2009,,,[1401223125],"Vertigo (2009), Edition: New edition, Paperback, 144 pages",,0,,"2014-01-21 18:50:16",1,"Comic books, strips, etc > 
Comic books, strips, etc","Your library","journalism,cyberpunk,graphic novels & comics,RECOMMENDER:Tessa"
